root_uid	relationmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	attribute	start_date_type	start_date	end_date_type	end_date
KC003A9VN	RMKC003A9VN.000816	KC003ADPC	2982	2987	oppose	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Around 70% of Venezuelans oppose the Constituent Assembly election	evaluate	sentiment	negative	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.000863	KC003ADPC	2963	2965	70%	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Percentage of Venezuelans who oppose the vote is around 70%	measurement	size	percentage	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.000910	KC003ADPC	3017	3023	million	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of state employees in Venezuela 2.8 million	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.000957	KC003ADPC	3096	3100	dozen	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of sources who spoke to Reuters two dozen	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.001158	KC003ADPC	4024	4030	million	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of people who voted 8.5 million	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.001218	KC003ADPC	4024	4030	million	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of people who voted not 8.5 million	measurement	size	count	not	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.001265	KC003ADPC	4160	4166	million	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of people in Venezuela some 30 million	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.001312	KC003ADPC	4149	4150	of	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Some 30 million people are in Venezuela	physical	locatednear	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.001359	KC003ADPC	4467	4474	Millions	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of Venezuelans who struggle to eat in the millions	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.001440	KC003ADPC	4757	4760	slap	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Trina Sanchez dislikes Maduro	evaluate	sentiment	negative	none	startbefore	2017-07-30	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.001508	KC003ADPC	4830	4838	organized	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Opposition organized referendum	generalaffiliation	sponsorship	adviseplanorganize	none	startbefore	2017-07-xx	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.001628	KC003ADPC	4917	4923	million	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of people who voted in opposition referendum over 7 million	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.001743	KC003ADPC	5399	5403	seven	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of police officers wounded seven	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.001790	KC003ADPC	5431	5434	four	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of motorbikes incinerated four	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.002130	KC003ADPC	5933	5938	blamed	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The candidate's death blamed on the opposition	responsibilityblame	assignblame	assignblame	none	startafter	2017-07-29	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.002177	KC003ADPC	6132	6141	Supporters	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Chavismo supporters on Chavismo side	generalaffiliation	memberoriginreligionethnicity	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.002258	KC003ADPC	6470	6471	in	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The school in Caracas is in Caracas	physical	locatednear	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.002318	KC003ADPC	6649	6652	wife	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro's wife is his wife	personalsocial	unspecified	unspecified	none	startbefore	2017-07-30	endunk	EMPTY_NA
KC003A9VN	RMKC003A9VN.002365	KC003ADPC	6658	6660	son	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro's son is his son	personalsocial	unspecified	unspecified	none	startbefore	2017-07-30	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.000037	KC003ADUG	603	611	8.089.320	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	8,089,320 people participated	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.000084	KC003ADUG	227	236	venezolano	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The Venezuelan state is Venezuelan	generalaffiliation	organizationpoliticalreligiousaffiliation	nationalitycitizen	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.000131	KC003ADUG	573	574	de	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The National Electoral Council is Venezuelan	generalaffiliation	organizationpoliticalreligiousaffiliation	nationalitycitizen	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.000322	KC003ADUG	836	845	presidenta	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Tibisay Lucena leads the CNE	organizationaffiliation	leadership	government	none	startbefore	2017-07-30	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.000369	KC003ADUG	923	929	41,53 %	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	41.53 of eligible voters participated	measurement	size	percentage	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.000416	KC003ADUG	987	999	19,5 millones	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of eligible voters almost 19.5 million	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.000463	KC003ADUG	1093	1096	12 %	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	12% of the electoral roll participated	measurement	size	percentage	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.000510	KC003ADUG	1121	1130	2 millones	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of people who voted is a little over 2 million	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.000949	KC003ADUG	1867	1870	ocho	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of people who died is at least eight	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.001124	KC003ADUG	2054	2059	número	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of people who died could be 14	measurement	size	count	hedged	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.001239	KC003ADUG	2209	2210	14	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of people who died is 14	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.001320	KC003ADUG	2446	2448	12%	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	12% of Venezuelans voted	measurement	size	percentage	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.001401	KC003ADUG	2507	2511	cifró	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of votes 2,483,073	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.001448	KC003ADUG	2757	2759	15%	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Turnout was not 15%	measurement	size	percentage	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.001495	KC003ADUG	2921	2930	venezolano	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Venezuelan gov't is Venezuelan	generalaffiliation	organizationpoliticalreligiousaffiliation	nationalitycitizen	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.001542	KC003ADUG	3020	3033	vicepresidente	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Diosdado Cabello is vice-president of Venezuela	organizationaffiliation	leadership	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.001670	KC003ADUG	3414	3416	545	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of National Constituent Assembly members 545	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.001832	KC003ADUG	4604	4608	saldo	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of people who died 115	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.001960	KC003ADUG	4720	4724	siete	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of people killed at least seven	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.002333	KC003ADUG	2284	2292	opositora	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Delsa Solórzano is on opposition side	generalaffiliation	memberoriginreligionethnicity	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7C4	RMKC003A7C4.002479	KC003ADUG	1656	1660	miles	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of Venezuelans who went to protest in the thousands	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7RG	RMKC003A7RG.000199	KC003ADVE	3947	3956	presidenta	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Tibisay Lucena, President of CNE	organizationaffiliation	employmentmembership	employment	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7RG	RMKC003A7RG.000293	KC003ADVE	3751	3758	portavoz	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	MUD spokesperson	organizationaffiliation	employmentmembership	employment	none	startunk	EMPTY_NA	endunk	EMPTY_NA
KC003A7RG	RMKC003A7RG.000340	KC003ADVE	3683	3692	presidente	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Julio Borges Prez of the Parliament	generalaffiliation	memberoriginreligionethnicity	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
