root_uid	relationmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	attribute	start_date_type	start_date	end_date_type	end_date
JC002YC48	RMJC002YC48.000426	JC002YEMH	310	318	проживает	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Most infected people live in the northern part of the country	physical	resident	resident	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YC4N	RMJC002YC4N.000063	JC002YEMI	204	212	9 человек	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	9 people died	measurement	size	count	none	startunk	EMPTY_NA	endon	2014-09-xx
JC002YC4N	RMJC002YC4N.000217	JC002YEMI	215	224	Президенту	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Ángel Sarmiento is the President of Aragua Medical Association	personalsocial	role	titleformofaddress	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YC4N	RMJC002YC4N.000512	JC002YEMI	414	430	Глава государства	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Nicolas Maduro is the President of Venezuela	personalsocial	role	titleformofaddress	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YC4N	RMJC002YC4N.000619	JC002YEMI	611	617	обвинил	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro accused Dr. Sarmiento of psychological terrorism	responsibilityblame	assignblame	assignblame	none	starton	2014-xx-xx	endon	2014-xx-xx
JC002YC4N	RMJC002YC4N.000867	JC002YEMI	672	689	клинике г. Маракай	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Clinic in town of Maracay	physical	locatednear	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YC4N	RMJC002YC4N.001275	JC002YEMI	702	707	девять	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	9 people	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YF02	RMJC002YF02.000037	JC002YF53	2620	2625	45 745	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	There were 45,745 cases of dengue fever	measurement	size	count	none	startbefore	2014-09-xx	endbefore	2014-09-xx
JC002YF02	RMJC002YF02.000152	JC002YF53	2802	2804	400	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	400 Venezuelans were infected	measurement	size	count	none	startbefore	2014-09-xx	endbefore	2014-09-xx
JC002YF02	RMJC002YF02.000199	JC002YF53	2918	2939	между 65 000 и 117 000	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Between 65,000 and 117, 000 Venezuelans were infected	measurement	size	count	none	startbefore	2014-09-xx	endbefore	2014-09-xx
JC002YF02	RMJC002YF02.000246	JC002YF53	2566	2588	министр здравоохранения	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Nancy Pérez is a Health Minister	personalsocial	role	professionalrole	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YF02	RMJC002YF02.000340	JC002YF53	4026	4026	8	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	8 citizen of Aragua died	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YD6G	RMJC002YD6G.000348	JC002YD6I	393	402	Presidente	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Ángel Sarmiento President of Medical Fed of Aragua	organizationaffiliation	leadership	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YDCM	RMJC002YDCM.000966	JC002YDCQ	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	81.124	129.287	EMPTY_NA	EMPTY_NA	Tareck El Aissami is Governor of Aragua	organizationaffiliation	leadership	government	none	startbefore	2014-09-12	endunk	EMPTY_NA
JC002YF1M	RMJC002YF1M.000144	JC002YF4Y	198	201	diez	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of fatalities is 10	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YF1M	RMJC002YF1M.000742	JC002YF4Y	2692	2701	presidente	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Ángel Sarmiento is the president of the Colegio de Médicos	organizationaffiliation	leadership	unspecified	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YF1M	RMJC002YF1M.000836	JC002YF4Y	2790	2793	ocho	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Number of people who died is eight	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
JC002YF1M	RMJC002YF1M.001011	JC002YF4Y	3320	3329	gobernador	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Tareck El Aissami is governor of Aragua	organizationaffiliation	leadership	unspecified	none	startbefore	2014-09-12	endunk	EMPTY_NA
